"DATE","TIME PERIOD","Japanese Yen 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period (FM.M.GB.JPY.RT.MM.JPY3MFSR_.HSTA)"
"1996-03-31","1996Mar","0.6239"
"1996-04-30","1996Apr","0.6200"
"1996-05-31","1996May","0.6223"
"1996-06-30","1996Jun","0.5721"
"1996-07-31","1996Jul","0.6799"
"1996-08-31","1996Aug","0.6037"
"1996-09-30","1996Sep","0.5143"
"1996-10-31","1996Oct","0.4980"
"1996-11-30","1996Nov","0.4978"
"1996-12-31","1996Dec","0.4643"
"1997-01-31","1997Jan","0.4973"
"1997-02-28","1997Feb","0.5020"
"1997-03-31","1997Mar","0.5493"
"1997-04-30","1997Apr","0.5632"
"1997-05-31","1997May","0.5856"
"1997-06-30","1997Jun","0.6071"
"1997-07-31","1997Jul","0.6323"
"1997-08-31","1997Aug","0.5854"
"1997-09-30","1997Sep","0.5755"
"1997-10-31","1997Oct","0.5321"
"1997-11-30","1997Nov","0.4945"
"1997-12-31","1997Dec","0.7354"
"1998-01-31","1998Jan","0.7515"
"1998-02-28","1998Feb","0.8422"
"1998-03-31","1998Mar","0.7276"
"1998-04-30","1998Apr","0.6587"
"1998-05-31","1998May","0.5649"
"1998-06-30","1998Jun","0.5678"
"1998-07-31","1998Jul","0.6411"
"1998-08-31","1998Aug","0.6464"
"1998-09-30","1998Sep","0.4835"
"1998-10-31","1998Oct","0.4033"
"1998-11-30","1998Nov","0.4011"
"1998-12-31","1998Dec","0.4920"
"1999-01-31","1999Jan","0.5110"
"1999-02-28","1999Feb","0.3772"
"1999-03-31","1999Mar","0.1958"
"1999-04-30","1999Apr","0.1518"
"1999-05-31","1999May","0.1093"
"1999-06-30","1999Jun","0.0971"
"1999-07-31","1999Jul","0.1099"
"1999-08-31","1999Aug","0.0948"
"1999-09-30","1999Sep","0.0993"
"1999-10-31","1999Oct","0.2483"
"1999-11-30","1999Nov","0.3001"
"1999-12-31","1999Dec","0.3148"
"2000-01-31","2000Jan","0.1451"
"2000-02-29","2000Feb","0.1266"
"2000-03-31","2000Mar","0.1409"
"2000-04-30","2000Apr","0.1176"
"2000-05-31","2000May","0.1030"
"2000-06-30","2000Jun","0.1279"
"2000-07-31","2000Jul","0.2239"
"2000-08-31","2000Aug","0.3126"
"2000-09-30","2000Sep","0.4081"
"2000-10-31","2000Oct","0.5219"
"2000-11-30","2000Nov","0.5527"
"2000-12-31","2000Dec","0.6170"
"2001-01-31","2001Jan","0.4989"
"2001-02-28","2001Feb","0.4084"
"2001-03-31","2001Mar","0.1941"
"2001-04-30","2001Apr","0.0995"
"2001-05-31","2001May","0.0751"
"2001-06-30","2001Jun","0.0691"
"2001-07-31","2001Jul","0.0798"
"2001-08-31","2001Aug","0.0764"
"2001-09-30","2001Sep","0.0635"
"2001-10-31","2001Oct","0.0779"
"2001-11-30","2001Nov","0.0778"
"2001-12-31","2001Dec","0.0840"
"2002-01-31","2002Jan","0.0879"
"2002-02-28","2002Feb","0.0951"
"2002-03-31","2002Mar","0.1032"
"2002-04-30","2002Apr","0.0808"
"2002-05-31","2002May","0.0772"
"2002-06-30","2002Jun","0.0698"
"2002-07-31","2002Jul","0.0713"
"2002-08-31","2002Aug","0.0664"
"2002-09-30","2002Sep","0.0651"
"2002-10-31","2002Oct","0.0713"
"2002-11-30","2002Nov","0.0707"
"2002-12-31","2002Dec","0.0609"
"2003-01-31","2003Jan","0.0619"
"2003-02-28","2003Feb","0.0591"
"2003-03-31","2003Mar","0.0560"
"2003-04-30","2003Apr","0.0604"
"2003-05-31","2003May","0.0588"
"2003-06-30","2003Jun","0.0576"
"2003-07-31","2003Jul","0.0499"
"2003-08-31","2003Aug","0.0534"
"2003-09-30","2003Sep","0.0544"
"2003-10-31","2003Oct","0.0568"
"2003-11-30","2003Nov","0.0560"
"2003-12-31","2003Dec","0.0574"
"2004-01-31","2004Jan","0.0571"
"2004-02-29","2004Feb","0.0517"
"2004-03-31","2004Mar","0.0516"
"2004-04-30","2004Apr","0.0475"
"2004-05-31","2004May","0.0477"
"2004-06-30","2004Jun","0.0503"
"2004-07-31","2004Jul","0.0516"
"2004-08-31","2004Aug","0.0514"
"2004-09-30","2004Sep","0.0522"
"2004-10-31","2004Oct","0.0527"
"2004-11-30","2004Nov","0.0523"
"2004-12-31","2004Dec","0.0519"
"2005-01-31","2005Jan","0.0529"
"2005-02-28","2005Feb","0.0522"
"2005-03-31","2005Mar","0.0530"
