"DATE","TIME PERIOD","US Dollar 3-month British Bankers` Association (BBA) Libor - Historical close, average of observations through period (FM.M.GB.USD.RT.MM.USD3MFSR_.HSTA)"
"1999-03-31","1999Mar","5.0066"
"1999-04-30","1999Apr","4.9983"
"1999-05-31","1999May","5.0241"
"1999-06-30","1999Jun","5.1788"
"1999-07-31","1999Jul","5.3095"
"1999-08-31","1999Aug","5.4499"
"1999-09-30","1999Sep","5.5656"
"1999-10-31","1999Oct","6.1823"
"1999-11-30","1999Nov","6.1025"
"1999-12-31","1999Dec","6.1264"
"2000-01-31","2000Jan","6.0392"
"2000-02-29","2000Feb","6.0998"
"2000-03-31","2000Mar","6.1970"
"2000-04-30","2000Apr","6.3119"
"2000-05-31","2000May","6.7557"
"2000-06-30","2000Jun","6.7901"
"2000-07-31","2000Jul","6.7319"
"2000-08-31","2000Aug","6.6914"
"2000-09-30","2000Sep","6.6742"
"2000-10-31","2000Oct","6.7784"
"2000-11-30","2000Nov","6.7517"
"2000-12-31","2000Dec","6.5451"
"2001-01-31","2001Jan","5.6982"
"2001-02-28","2001Feb","5.3482"
"2001-03-31","2001Mar","4.9640"
"2001-04-30","2001Apr","4.6139"
"2001-05-31","2001May","4.1037"
"2001-06-30","2001Jun","3.8341"
"2001-07-31","2001Jul","3.7511"
"2001-08-31","2001Aug","3.5660"
"2001-09-30","2001Sep","3.0346"
"2001-10-31","2001Oct","2.4001"
"2001-11-30","2001Nov","2.1030"
"2001-12-31","2001Dec","1.9243"
"2002-01-31","2002Jan","1.8206"
"2002-02-28","2002Feb","1.9032"
"2002-03-31","2002Mar","1.9879"
"2002-04-30","2002Apr","1.9670"
"2002-05-31","2002May","1.9052"
"2002-06-30","2002Jun","1.8776"
"2002-07-31","2002Jul","1.8485"
"2002-08-31","2002Aug","1.7749"
"2002-09-30","2002Sep","1.8046"
"2002-10-31","2002Oct","1.7845"
"2002-11-30","2002Nov","1.4559"
"2002-12-31","2002Dec","1.4066"
"2003-01-31","2003Jan","1.3667"
"2003-02-28","2003Feb","1.3433"
"2003-03-31","2003Mar","1.2862"
"2003-04-30","2003Apr","1.3005"
"2003-05-31","2003May","1.2843"
"2003-06-30","2003Jun","1.1225"
"2003-07-31","2003Jul","1.1095"
"2003-08-31","2003Aug","1.1351"
"2003-09-30","2003Sep","1.1425"
"2003-10-31","2003Oct","1.1584"
"2003-11-30","2003Nov","1.1723"
"2003-12-31","2003Dec","1.1703"
"2004-01-31","2004Jan","1.1282"
"2004-02-29","2004Feb","1.1241"
"2004-03-31","2004Mar","1.1122"
"2004-04-30","2004Apr","1.1519"
"2004-05-31","2004May","1.2533"
"2004-06-30","2004Jun","1.5006"
"2004-07-31","2004Jul","1.6280"
"2004-08-31","2004Aug","1.7292"
"2004-09-30","2004Sep","1.9039"
"2004-10-31","2004Oct","2.0825"
"2004-11-30","2004Nov","2.3061"
"2004-12-31","2004Dec","2.4991"
"2005-01-31","2005Jan","2.6668"
"2005-02-28","2005Feb","2.8195"
"2005-03-31","2005Mar","3.0235"
"2005-04-30","2005Apr","3.1533"
"2005-05-31","2005May","3.2740"
"2005-06-30","2005Jun","3.4263"
"2005-07-31","2005Jul","3.6130"
"2005-08-31","2005Aug","3.7990"
"2005-09-30","2005Sep","3.9057"
"2005-10-31","2005Oct","4.1674"
"2005-11-30","2005Nov","4.3522"
"2005-12-31","2005Dec","4.4910"
"2006-01-31","2006Jan","4.6053"
"2006-02-28","2006Feb","4.7555"
"2006-03-31","2006Mar","4.9203"
"2006-04-30","2006Apr","5.0712"
"2006-05-31","2006May","5.1855"
"2006-06-30","2006Jun","5.3848"
"2006-07-31","2006Jul","5.4953"
"2006-08-31","2006Aug","5.4207"
"2006-09-30","2006Sep","5.3837"
"2006-10-31","2006Oct","5.3733"
"2006-11-30","2006Nov","5.3721"
"2006-12-31","2006Dec","5.3600"
"2007-01-31","2007Jan","5.3600"
"2007-02-28","2007Feb","5.3594"
"2007-03-31","2007Mar","5.3471"
"2007-04-30","2007Apr","5.3548"
"2007-05-31","2007May","5.3589"
"2007-06-30","2007Jun","5.3600"
"2007-07-31","2007Jul","5.3597"
"2007-08-31","2007Aug","5.4827"
"2007-09-30","2007Sep","5.4939"
"2007-10-31","2007Oct","5.1465"
"2007-11-30","2007Nov","4.9621"
"2007-12-31","2007Dec","4.9794"
"2008-01-31","2008Jan","3.9176"
"2008-02-29","2008Feb","3.0876"
"2008-03-31","2008Mar","2.7825"
"2008-04-30","2008Apr","2.7947"
"2008-05-31","2008May","2.6924"
"2008-06-30","2008Jun","2.7654"
"2008-07-31","2008Jul","2.7923"
"2008-08-31","2008Aug","2.8063"
"2008-09-30","2008Sep","3.1217"
"2008-10-31","2008Oct","4.0586"
"2008-11-30","2008Nov","2.2791"
"2008-12-31","2008Dec","1.8293"
"2009-01-31","2009Jan","1.2108"
"2009-02-28","2009Feb","1.2426"
"2009-03-31","2009Mar","1.2667"
"2009-04-30","2009Apr","1.1062"
"2009-05-31","2009May","0.8150"
"2009-06-30","2009Jun","0.6207"
"2009-07-31","2009Jul","0.5153"
"2009-08-31","2009Aug","0.4245"
"2009-09-30","2009Sep","0.2979"
"2009-10-31","2009Oct","0.2831"
"2009-11-30","2009Nov","0.2681"
"2009-12-31","2009Dec","0.2530"
"2010-01-31","2010Jan","0.2501"
"2010-02-28","2010Feb","0.2505"
"2010-03-31","2010Mar","0.2684"
"2010-04-30","2010Apr","0.3116"
"2010-05-31","2010May","0.4585"
"2010-06-30","2010Jun","0.5369"
"2010-07-31","2010Jul","0.5103"
"2010-08-31","2010Aug","0.3625"
"2010-09-30","2010Sep","0.2914"
"2010-10-31","2010Oct","0.2888"
"2010-11-30","2010Nov","0.2871"
"2010-12-31","2010Dec","0.3027"
"2011-01-31","2011Jan","0.3034"
"2011-02-28","2011Feb","0.3119"
"2011-03-31","2011Mar","0.3084"
"2011-04-30","2011Apr","0.2814"
"2011-05-31","2011May","0.2607"
"2011-06-30","2011Jun","0.2478"
"2011-07-31","2011Jul","0.2499"
"2011-08-31","2011Aug","0.2932"
"2011-09-30","2011Sep","0.3502"
"2011-10-31","2011Oct","0.4065"
"2011-11-30","2011Nov","0.4753"
"2011-12-31","2011Dec","0.5557"
"2012-01-31","2012Jan","0.5659"
"2012-02-29","2012Feb","0.5032"
"2012-03-31","2012Mar","0.4733"
"2012-04-30","2012Apr","0.4668"
"2012-05-31","2012May","0.4665"
"2012-06-30","2012Jun","0.4656"
"2012-07-31","2012Jul","0.4536"
"2012-08-31","2012Aug","0.4326"
"2012-09-30","2012Sep","0.3856"
"2012-10-31","2012Oct","0.3305"
"2012-11-30","2012Nov","0.3110"
"2012-12-31","2012Dec","0.3095"
"2013-01-31","2013Jan","0.3026"
"2013-02-28","2013Feb","0.2905"
"2013-03-31","2013Mar","0.2819"
"2013-04-30","2013Apr","0.2771"
"2013-05-31","2013May","0.2742"
"2013-06-30","2013Jun","0.2737"
"2013-07-31","2013Jul","0.2676"
"2013-08-31","2013Aug","0.2634"
"2013-09-30","2013Sep","0.2532"
"2013-10-31","2013Oct","0.2418"
"2013-11-30","2013Nov","0.2382"
"2013-12-31","2013Dec","0.2439"
"2014-01-31","2014Jan","0.2382"
"2014-02-28","2014Feb","0.2352"
"2014-03-31","2014Mar","0.2341"
"2014-04-30","2014Apr","0.2275"
"2014-05-31","2014May","0.2261"
"2014-06-30","2014Jun","0.2309"
"2014-07-31","2014Jul","0.2342"
"2014-08-31","2014Aug","0.2347"
"2014-09-30","2014Sep","0.2340"
"2014-10-31","2014Oct","0.2314"
"2014-11-30","2014Nov","0.2329"
"2014-12-31","2014Dec","0.2446"
